zone,day_of_week,hour,is_weekday,is_rush_hour,congestion_score,congestion_level,pollution_score,pollution_level,infra_score,infra_level
MG Road,0,0,1,0,0.54,medium,0.364,medium,0.581,medium
Whitefield,0,0,1,0,0.422,medium,0.272,low,0.295,low
Koramangala,0,0,1,0,0.226,low,0.235,low,0.244,low
Electronic City,0,0,1,0,0.493,medium,0.299,low,0.326,medium
Indiranagar,0,0,1,0,0.319,low,0.032,low,0.23,low
MG Road,0,1,1,0,0.455,medium,0.217,low,0.513,medium
Whitefield,0,1,1,0,0.227,low,0.018,low,0.388,medium
Koramangala,0,1,1,0,0.082,low,0.064,low,0.09,low
Electronic City,0,1,1,0,0.406,medium,0.296,low,0.222,low
Indiranagar,0,1,1,0,0.33,low,0.171,low,0.378,medium
MG Road,0,2,1,0,0.452,medium,0.502,medium,0.479,medium
Whitefield,0,2,1,0,0.215,low,0.233,low,0.114,low
Koramangala,0,2,1,0,0.117,low,0.0,low,0.114,low
Electronic City,0,2,1,0,0.466,medium,0.4,medium,0.378,medium
Indiranagar,0,2,1,0,0.291,low,0.173,low,0.243,low
MG Road,0,3,1,0,0.442,medium,0.264,low,0.583,medium
Whitefield,0,3,1,0,0.327,low,0.053,low,0.313,medium
Koramangala,0,3,1,0,0.069,low,0.0,low,0.289,low
Electronic City,0,3,1,0,0.532,medium,0.466,medium,0.304,medium
Indiranagar,0,3,1,0,0.275,low,0.226,low,0.483,medium
MG Road,0,4,1,0,0.462,medium,0.305,medium,0.374,medium
Whitefield,0,4,1,0,0.204,low,0.224,low,0.367,medium
Koramangala,0,4,1,0,0.094,low,0.166,low,0.274,low
Electronic City,0,4,1,0,0.398,medium,0.315,medium,0.488,medium
Indiranagar,0,4,1,0,0.297,low,0.364,medium,0.132,low
MG Road,0,5,1,0,0.866,high,0.615,high,0.616,high
Whitefield,0,5,1,0,0.607,medium,0.226,low,0.371,medium
Koramangala,0,5,1,0,0.429,medium,0.448,medium,0.32,medium
Electronic City,0,5,1,0,0.685,high,0.43,medium,0.541,medium
Indiranagar,0,5,1,0,0.626,medium,0.385,medium,0.577,medium
MG Road,0,6,1,0,0.808,high,0.662,high,0.553,medium
Whitefield,0,6,1,0,0.574,medium,0.362,medium,0.233,low
Koramangala,0,6,1,0,0.424,medium,0.323,medium,0.37,medium
Electronic City,0,6,1,0,0.731,high,0.37,medium,0.425,medium
Indiranagar,0,6,1,0,0.573,medium,0.321,medium,0.488,medium
MG Road,0,7,1,0,0.832,high,0.771,high,0.65,high
Whitefield,0,7,1,0,0.621,medium,0.427,medium,0.206,low
Koramangala,0,7,1,0,0.398,medium,0.285,low,0.605,high
Electronic City,0,7,1,0,0.735,high,0.544,medium,0.465,medium
Indiranagar,0,7,1,0,0.507,medium,0.469,medium,0.553,medium
MG Road,0,8,1,1,1.0,high,0.609,high,0.84,high
Whitefield,0,8,1,1,0.738,high,0.575,medium,0.664,high
Koramangala,0,8,1,1,0.571,medium,0.343,medium,0.438,medium
Electronic City,0,8,1,1,0.96,high,0.517,medium,0.566,medium
Indiranagar,0,8,1,1,0.765,high,0.583,medium,0.489,medium
MG Road,0,9,1,1,1.0,high,0.622,high,0.668,high
Whitefield,0,9,1,1,0.915,high,0.517,medium,0.539,medium
Koramangala,0,9,1,1,0.755,high,0.367,medium,0.52,medium
Electronic City,0,9,1,1,1.0,high,0.778,high,0.451,medium
Indiranagar,0,9,1,1,0.744,high,0.573,medium,0.602,high
MG Road,0,10,1,1,1.0,high,0.735,high,0.632,high
Whitefield,0,10,1,1,0.869,high,0.637,high,0.426,medium
Koramangala,0,10,1,1,0.799,high,0.607,high,0.401,medium
Electronic City,0,10,1,1,1.0,high,0.603,high,0.654,high
Indiranagar,0,10,1,1,0.943,high,0.578,medium,0.748,high
MG Road,0,11,1,0,0.833,high,0.665,high,0.823,high
Whitefield,0,11,1,0,0.58,medium,0.331,medium,0.293,low
Koramangala,0,11,1,0,0.335,low,0.227,low,0.368,medium
Electronic City,0,11,1,0,0.772,high,0.623,high,0.485,medium
Indiranagar,0,11,1,0,0.716,high,0.475,medium,0.834,high
MG Road,0,12,1,0,0.85,high,0.509,medium,0.533,medium
Whitefield,0,12,1,0,0.639,medium,0.425,medium,0.477,medium
Koramangala,0,12,1,0,0.438,medium,0.299,low,0.29,low
Electronic City,0,12,1,0,0.629,medium,0.396,medium,0.512,medium
Indiranagar,0,12,1,0,0.617,medium,0.307,medium,0.539,medium
MG Road,0,13,1,0,0.831,high,0.493,medium,0.648,high
Whitefield,0,13,1,0,0.605,medium,0.309,medium,0.428,medium
Koramangala,0,13,1,0,0.445,medium,0.42,medium,0.483,medium
Electronic City,0,13,1,0,0.64,medium,0.354,medium,0.482,medium
Indiranagar,0,13,1,0,0.641,medium,0.5,medium,0.917,high
MG Road,0,14,1,0,0.846,high,0.706,high,0.734,high
Whitefield,0,14,1,0,0.652,high,0.425,medium,0.487,medium
Koramangala,0,14,1,0,0.338,low,0.213,low,0.287,low
Electronic City,0,14,1,0,0.757,high,0.761,high,0.291,low
Indiranagar,0,14,1,0,0.655,high,0.297,low,0.49,medium
MG Road,0,15,1,0,0.887,high,0.627,high,0.547,medium
Whitefield,0,15,1,0,0.543,medium,0.448,medium,0.294,low
Koramangala,0,15,1,0,0.417,medium,0.297,low,0.302,medium
Electronic City,0,15,1,0,0.922,high,0.708,high,0.341,medium
Indiranagar,0,15,1,0,0.615,medium,0.364,medium,0.606,high
MG Road,0,16,1,0,0.737,high,0.504,medium,0.645,high
Whitefield,0,16,1,0,0.669,high,0.348,medium,0.384,medium
Koramangala,0,16,1,0,0.362,medium,0.188,low,0.521,medium
Electronic City,0,16,1,0,0.782,high,0.422,medium,0.58,medium
Indiranagar,0,16,1,0,0.77,high,0.642,high,0.431,medium
MG Road,0,17,1,1,1.0,high,0.827,high,0.629,high
Whitefield,0,17,1,1,0.886,high,0.697,high,0.412,medium
Koramangala,0,17,1,1,0.645,medium,0.128,low,0.356,medium
Electronic City,0,17,1,1,0.98,high,0.561,medium,0.73,high
Indiranagar,0,17,1,1,0.736,high,0.471,medium,0.582,medium
MG Road,0,18,1,1,1.0,high,0.556,medium,0.816,high
Whitefield,0,18,1,1,0.851,high,0.497,medium,0.537,medium
Koramangala,0,18,1,1,0.666,high,0.406,medium,0.473,medium
Electronic City,0,18,1,1,0.969,high,0.69,high,0.629,high
Indiranagar,0,18,1,1,0.977,high,0.56,medium,0.879,high
MG Road,0,19,1,1,0.894,high,0.611,high,0.716,high
Whitefield,0,19,1,1,0.872,high,0.548,medium,0.478,medium
Koramangala,0,19,1,1,0.611,medium,0.368,medium,0.529,medium
Electronic City,0,19,1,1,1.0,high,0.631,high,0.665,high
Indiranagar,0,19,1,1,0.875,high,0.693,high,0.688,high
MG Road,0,20,1,1,0.984,high,0.633,high,0.768,high
